task_id,edge_node_id,edge_server_id,edge_node_memory,edge_server_memory,edge_cpu_mips,edge_server_cpu_mips,mobility_status,en_uplink_bandwidth,en_downlink_bandwidth,es_uplink_bandwidth,es_downlink_bandwidth,edge_node_Latitude_position,edge_node_Longitude_position,edge_server_position,distance_en_to_es,distance_es_to_cs,deadlines,task_size,subtasks
45,12,3,78.58694157830183,499.26772493307004,4.371377271085808,1.7894989493051359,mobile,81.29720350649755,10.176734280305693,24.672660637248484,60.99027966659595,3,124,"[750.0522, -355.2437]",836.4698055464345,1044.1024461186219,352.7231164263783,4.521983217894063,"[{'subtask_id': 0, 'subtask_size': 2.2609916089470317, 'network_delay_to_edge_server': 0.016482895133479544, 'network_delay_to_cloud_server': 0.045751203861405444, 'task_completion_time_edge': 0.7476086741079755, 'task_completion_time_cloud': 1.3575019366717354, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 1, 'subtask_size': 2.2609916089470317, 'network_delay_to_edge_server': 0.016482895133479544, 'network_delay_to_cloud_server': 0.045751203861405444, 'task_completion_time_edge': 0.16208907738156897, 'task_completion_time_cloud': 1.6110642787595246, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}]"
46,22,1,38.94147003013051,315.9681133123447,11.733635574400248,8.739692458466013,mobile,85.3550066312322,31.406680020889837,95.61618716359602,62.60433023204564,-69,56,"[-329.2817, -700.006]",739.3311574598287,1044.1024461186219,194.5148646002254,4.811328807708261,"[{'subtask_id': 0, 'subtask_size': 1.6037762692360868, 'network_delay_to_edge_server': 0.015412430168530233, 'network_delay_to_cloud_server': 0.015678992427978874, 'task_completion_time_edge': 0.833791801723569, 'task_completion_time_cloud': 1.4679622514008428, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 1, 'subtask_size': 1.6037762692360868, 'network_delay_to_edge_server': 0.015412430168530233, 'network_delay_to_cloud_server': 0.015678992427978874, 'task_completion_time_edge': 0.3765125193643417, 'task_completion_time_cloud': 1.550911448051742, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 2, 'subtask_size': 1.6037762692360868, 'network_delay_to_edge_server': 0.015412430168530233, 'network_delay_to_cloud_server': 0.015678992427978874, 'task_completion_time_edge': 0.7238788342629482, 'task_completion_time_cloud': 1.289953460065683, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}]"
47,15,4,62.36710171762477,207.47396657570152,50.32738128318058,62.41032068671061,static,13.148884175109348,72.86741492182814,57.094226375583276,23.3586744597519,51,35,"[950.7783, 927.4179]",834.6922600521044,1044.1024461186219,306.09203309623376,4.3886732646266005,"[{'subtask_id': 0, 'subtask_size': 1.0971683161566501, 'network_delay_to_edge_server': 0.08022554196981163, 'network_delay_to_cloud_server': 0.022735418088528622, 'task_completion_time_edge': 0.4626227793785788, 'task_completion_time_cloud': 1.1703708709586702, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 1, 'subtask_size': 1.0971683161566501, 'network_delay_to_edge_server': 0.08022554196981163, 'network_delay_to_cloud_server': 0.022735418088528622, 'task_completion_time_edge': 0.2222355534223232, 'task_completion_time_cloud': 1.4742881340615583, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 2, 'subtask_size': 1.0971683161566501, 'network_delay_to_edge_server': 0.08022554196981163, 'network_delay_to_cloud_server': 0.022735418088528622, 'task_completion_time_edge': 0.3839328862258444, 'task_completion_time_cloud': 0.9754124022397224, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 3, 'subtask_size': 1.0971683161566501, 'network_delay_to_edge_server': 0.08022554196981163, 'network_delay_to_cloud_server': 0.022735418088528622, 'task_completion_time_edge': 0.549894801295749, 'task_completion_time_cloud': 1.4509499769906526, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}]"
48,34,4,90.95299557707534,590.1718199605139,4.210768105561007,9.457918856992732,static,42.16602335989973,74.25479728745977,79.97418519493885,23.57476884440068,81,175,"[-329.2817, -700.006]",929.6614464367606,1044.1024461186219,319.2731679167591,2.8301320174328857,"[{'subtask_id': 0, 'subtask_size': 0.7075330043582214, 'network_delay_to_edge_server': 0.028364084066643584, 'network_delay_to_cloud_server': 0.01772454709587467, 'task_completion_time_edge': 0.7803848764014885, 'task_completion_time_cloud': 1.5788538691096816, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 1, 'subtask_size': 0.7075330043582214, 'network_delay_to_edge_server': 0.028364084066643584, 'network_delay_to_cloud_server': 0.01772454709587467, 'task_completion_time_edge': 0.7918079887807641, 'task_completion_time_cloud': 1.4240060463607052, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 2, 'subtask_size': 0.7075330043582214, 'network_delay_to_edge_server': 0.028364084066643584, 'network_delay_to_cloud_server': 0.01772454709587467, 'task_completion_time_edge': 0.8254056097348781, 'task_completion_time_cloud': 1.6454019418911794, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 3, 'subtask_size': 0.7075330043582214, 'network_delay_to_edge_server': 0.028364084066643584, 'network_delay_to_cloud_server': 0.01772454709587467, 'task_completion_time_edge': 0.7636575420272983, 'task_completion_time_cloud': 1.4225110784055242, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}]"
49,24,2,62.7841016168415,189.06326110362454,41.041052736205195,12.506989277696757,mobile,77.62401601766342,90.41336587388274,89.70304172248987,43.41791344499107,62,154,"[230.7749, 384.4191]",902.338265613783,1044.1024461186219,463.9174736675823,3.890744646661629,"[{'subtask_id': 0, 'subtask_size': 1.9453723233308144, 'network_delay_to_edge_server': 0.01739430229440244, 'network_delay_to_cloud_server': 0.01636840622390555, 'task_completion_time_edge': 0.45040969530604746, 'task_completion_time_cloud': 1.8803347592008177, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 1, 'subtask_size': 1.9453723233308144, 'network_delay_to_edge_server': 0.01739430229440244, 'network_delay_to_cloud_server': 0.01636840622390555, 'task_completion_time_edge': 0.2927567607233295, 'task_completion_time_cloud': 1.5922516554266108, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}]"
50,55,3,36.94811472433829,543.3006171662975,11.434769354022018,1.8963615949995452,mobile,21.783731408441994,77.88721035505681,33.60956700346037,37.92168632583052,-87,145,"[230.7749, 384.4191]",775.0609569517032,1044.1024461186219,269.4637425233776,2.185793958715887,"[{'subtask_id': 0, 'subtask_size': 2.185793958715887, 'network_delay_to_edge_server': 0.04978112235338973, 'network_delay_to_cloud_server': 0.03497394523069817, 'task_completion_time_edge': 0.4465260775601513, 'task_completion_time_cloud': 1.3997877209333882, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}]"
51,13,0,64.70445467952806,390.7046483451773,7.321984307720181,1.7842756752271867,mobile,11.379760352710985,13.09097405334749,25.71737657625924,87.87819636996132,77,161,"[230.7749, 384.4191]",918.7570241314567,1044.1024461186219,82.3548718812881,4.825177399338095,"[{'subtask_id': 0, 'subtask_size': 2.4125886996690475, 'network_delay_to_edge_server': 0.09246909786938062, 'network_delay_to_cloud_server': 0.04410472722953436, 'task_completion_time_edge': 0.7421547743065235, 'task_completion_time_cloud': 1.290616754571949, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 1, 'subtask_size': 2.4125886996690475, 'network_delay_to_edge_server': 0.09246909786938062, 'network_delay_to_cloud_server': 0.04410472722953436, 'task_completion_time_edge': 0.9992149103483665, 'task_completion_time_cloud': 0.9489409339762264, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}]"
52,94,1,82.23493594224422,518.5772746162318,12.0696694256477,34.853844389226694,mobile,37.669848617044046,46.477064190622386,19.988389333958757,83.4259828880424,-81,170,"[950.7783, 927.4179]",795.2676555669103,1044.1024461186219,137.77760891890824,4.740608927844277,"[{'subtask_id': 0, 'subtask_size': 4.740608927844277, 'network_delay_to_edge_server': 0.030522768293152994, 'network_delay_to_cloud_server': 0.055249555756430174, 'task_completion_time_edge': 0.927797559490955, 'task_completion_time_cloud': 1.4019652515823813, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}]"
53,70,2,44.73242712394064,189.06326110362454,3.19115606054794,12.506989277696757,mobile,22.54772765427075,46.07783897316697,89.70304172248987,43.41791344499107,61,159,"[230.7749, 384.4191]",904.1842459315966,1044.1024461186219,266.3469249134947,4.911635946329359,"[{'subtask_id': 0, 'subtask_size': 1.6372119821097864, 'network_delay_to_edge_server': 0.04887128838564014, 'network_delay_to_cloud_server': 0.01636840622390555, 'task_completion_time_edge': 0.9404245758490705, 'task_completion_time_cloud': 0.8095992825624174, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 1, 'subtask_size': 1.6372119821097864, 'network_delay_to_edge_server': 0.04887128838564014, 'network_delay_to_cloud_server': 0.01636840622390555, 'task_completion_time_edge': 0.9992974482492892, 'task_completion_time_cloud': 1.2422595209343341, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 2, 'subtask_size': 1.6372119821097864, 'network_delay_to_edge_server': 0.04887128838564014, 'network_delay_to_cloud_server': 0.01636840622390555, 'task_completion_time_edge': 0.8852121278140332, 'task_completion_time_cloud': 0.7834843292514073, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}]"
54,11,2,71.28424540118351,189.06326110362454,3.458997429627939,12.506989277696757,static,78.48327157480321,76.24976694196918,89.70304172248987,43.41791344499107,-6,-97,"[230.7749, 384.4191]",731.8463747200569,1044.1024461186219,189.39883230076833,0.7528294150279344,"[{'subtask_id': 0, 'subtask_size': 0.1882073537569836, 'network_delay_to_edge_server': 0.01640080061728969, 'network_delay_to_cloud_server': 0.01636840622390555, 'task_completion_time_edge': 0.8564510151406933, 'task_completion_time_cloud': 1.4613503609582803, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 1, 'subtask_size': 0.1882073537569836, 'network_delay_to_edge_server': 0.01640080061728969, 'network_delay_to_cloud_server': 0.01636840622390555, 'task_completion_time_edge': 0.6659326288847633, 'task_completion_time_cloud': 0.9277204160699372, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 2, 'subtask_size': 0.1882073537569836, 'network_delay_to_edge_server': 0.01640080061728969, 'network_delay_to_cloud_server': 0.01636840622390555, 'task_completion_time_edge': 0.6092664853123807, 'task_completion_time_cloud': 0.5684673641806373, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 3, 'subtask_size': 0.1882073537569836, 'network_delay_to_edge_server': 0.01640080061728969, 'network_delay_to_cloud_server': 0.01636840622390555, 'task_completion_time_edge': 0.97285704405492, 'task_completion_time_cloud': 1.063809277619361, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}]"
55,34,2,90.95299557707534,778.3747487625809,4.210768105561007,8.11285920689789,static,42.16602335989973,74.25479728745977,17.602016430958656,54.691826060830984,81,175,"[950.7783, 927.4179]",929.6614464367606,1044.1024461186219,14.974219203737762,2.605710762366197,"[{'subtask_id': 0, 'subtask_size': 2.605710762366197, 'network_delay_to_edge_server': 0.028364084066643584, 'network_delay_to_cloud_server': 0.06203218513877123, 'task_completion_time_edge': 0.5945984479919251, 'task_completion_time_cloud': 1.789756553584355, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}]"
56,4,2,45.08671377503869,189.06326110362454,18.236012615745732,12.506989277696757,static,97.86673769192696,74.26350170956172,89.70304172248987,43.41791344499107,-25,-111,"[230.7749, 384.4191]",709.4223006016163,1044.1024461186219,241.45753727523297,3.2672671909346165,"[{'subtask_id': 0, 'subtask_size': 0.8168167977336541, 'network_delay_to_edge_server': 0.013765087738691784, 'network_delay_to_cloud_server': 0.01636840622390555, 'task_completion_time_edge': 0.280547166477893, 'task_completion_time_cloud': 0.5398821695885991, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 1, 'subtask_size': 0.8168167977336541, 'network_delay_to_edge_server': 0.013765087738691784, 'network_delay_to_cloud_server': 0.01636840622390555, 'task_completion_time_edge': 0.8656465127942319, 'task_completion_time_cloud': 0.900881242478167, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 2, 'subtask_size': 0.8168167977336541, 'network_delay_to_edge_server': 0.013765087738691784, 'network_delay_to_cloud_server': 0.01636840622390555, 'task_completion_time_edge': 0.5803641413229025, 'task_completion_time_cloud': 1.0767235801367092, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 3, 'subtask_size': 0.8168167977336541, 'network_delay_to_edge_server': 0.013765087738691784, 'network_delay_to_cloud_server': 0.01636840622390555, 'task_completion_time_edge': 0.4807782872068317, 'task_completion_time_cloud': 1.033350364148737, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}]"
57,77,3,86.42345862608275,543.3006171662975,20.931672309198962,1.8963615949995452,static,73.20489097440046,40.869693973640764,33.60956700346037,37.92168632583052,-58,-45,"[230.7749, 384.4191]",702.1308916369439,1044.1024461186219,214.42659939922018,2.947358058764413,"[{'subtask_id': 0, 'subtask_size': 1.4736790293822064, 'network_delay_to_edge_server': 0.01717094391001516, 'network_delay_to_cloud_server': 0.03497394523069817, 'task_completion_time_edge': 0.6889911714492838, 'task_completion_time_cloud': 0.7184397262945851, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 1, 'subtask_size': 1.4736790293822064, 'network_delay_to_edge_server': 0.01717094391001516, 'network_delay_to_cloud_server': 0.03497394523069817, 'task_completion_time_edge': 0.5444913167130414, 'task_completion_time_cloud': 0.6977938573480363, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}]"
58,42,3,83.17673672828342,543.3006171662975,22.628488938027797,1.8963615949995452,static,40.65578584903066,74.82177970173291,33.60956700346037,37.92168632583052,-1,-124,"[230.7749, 384.4191]",728.5258845030079,1044.1024461186219,60.956756542355826,1.9864161221532974,"[{'subtask_id': 0, 'subtask_size': 1.9864161221532974, 'network_delay_to_edge_server': 0.02823937448884716, 'network_delay_to_cloud_server': 0.03497394523069817, 'task_completion_time_edge': 0.8614155409947661, 'task_completion_time_cloud': 1.8711011226322933, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}]"
59,35,3,77.32196277545663,883.6809337468321,9.904059963460886,2.0817387549256874,mobile,24.815314005500476,87.29120145816938,46.82484745751728,18.92222088368436,-14,11,"[950.7783, 927.4179]",765.7648904140813,1044.1024461186219,307.86414845759083,4.949671855339594,"[{'subtask_id': 0, 'subtask_size': 4.949671855339594, 'network_delay_to_edge_server': 0.044126521260514716, 'network_delay_to_cloud_server': 0.026576694990339815, 'task_completion_time_edge': 0.5481668528466505, 'task_completion_time_cloud': 0.5955691123961427, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}]"
60,40,0,6.9813659957200755,183.31791281240794,5.7330068213591,9.989219781828691,static,74.75062572287554,47.56280383278241,39.741557760817486,77.26360672638025,62,142,"[-329.2817, -700.006]",895.9685177454005,1044.1024461186219,79.58169185251681,1.6128765836797294,"[{'subtask_id': 0, 'subtask_size': 0.5376255278932431, 'network_delay_to_edge_server': 0.017857657026124754, 'network_delay_to_cloud_server': 0.030383089048000425, 'task_completion_time_edge': 0.3856899874236812, 'task_completion_time_cloud': 0.7505911671320528, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 1, 'subtask_size': 0.5376255278932431, 'network_delay_to_edge_server': 0.017857657026124754, 'network_delay_to_cloud_server': 0.030383089048000425, 'task_completion_time_edge': 0.5146618663165807, 'task_completion_time_cloud': 1.8299596649260064, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 2, 'subtask_size': 0.5376255278932431, 'network_delay_to_edge_server': 0.017857657026124754, 'network_delay_to_cloud_server': 0.030383089048000425, 'task_completion_time_edge': 0.9129638197221746, 'task_completion_time_cloud': 1.9952012593640533, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}]"
61,54,1,42.47327370747251,204.45409426239155,1.5906400665552536,5.389302254838449,mobile,68.9498651638527,66.40401479344953,76.1647945964421,49.45252157528236,27,-75,"[230.7749, 384.4191]",770.1927726166288,1044.1024461186219,252.42615242488068,0.5341008347599603,"[{'subtask_id': 0, 'subtask_size': 0.26705041737998014, 'network_delay_to_edge_server': 0.01835425545942777, 'network_delay_to_cloud_server': 0.018349937778163787, 'task_completion_time_edge': 0.6706005798355411, 'task_completion_time_cloud': 1.134754483001633, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 1, 'subtask_size': 0.26705041737998014, 'network_delay_to_edge_server': 0.01835425545942777, 'network_delay_to_cloud_server': 0.018349937778163787, 'task_completion_time_edge': 0.45558003198880354, 'task_completion_time_cloud': 1.020104739833097, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}]"
62,42,1,83.17673672828342,204.45409426239155,22.628488938027797,5.389302254838449,static,40.65578584903066,74.82177970173291,76.1647945964421,49.45252157528236,-1,-124,"[230.7749, 384.4191]",728.5258845030079,1044.1024461186219,325.2754244880968,1.9174355709382431,"[{'subtask_id': 0, 'subtask_size': 1.9174355709382431, 'network_delay_to_edge_server': 0.02823937448884716, 'network_delay_to_cloud_server': 0.018349937778163787, 'task_completion_time_edge': 0.2198894471745842, 'task_completion_time_cloud': 0.6078706273807377, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}]"
63,56,1,28.004359980685717,518.5772746162318,13.915731836389693,34.853844389226694,static,44.13468798982291,12.095488251961598,19.988389333958757,83.4259828880424,-40,-129,"[950.7783, 927.4179]",689.7250752226498,1044.1024461186219,111.81541841228365,2.063663320047895,"[{'subtask_id': 0, 'subtask_size': 0.6878877733492983, 'network_delay_to_edge_server': 0.026106540171627193, 'network_delay_to_cloud_server': 0.055249555756430174, 'task_completion_time_edge': 0.3336221898481557, 'task_completion_time_cloud': 0.8938693328463783, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 1, 'subtask_size': 0.6878877733492983, 'network_delay_to_edge_server': 0.026106540171627193, 'network_delay_to_cloud_server': 0.055249555756430174, 'task_completion_time_edge': 0.5507151014064475, 'task_completion_time_cloud': 1.0474839561121834, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 2, 'subtask_size': 0.6878877733492983, 'network_delay_to_edge_server': 0.026106540171627193, 'network_delay_to_cloud_server': 0.055249555756430174, 'task_completion_time_edge': 0.9857847590726444, 'task_completion_time_cloud': 1.376251084292731, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}]"
64,56,1,28.004359980685717,392.8741932693814,13.915731836389693,7.3866370468299305,static,44.13468798982291,12.095488251961598,98.55920790828459,62.87634092688917,-40,-129,"[750.0522, -355.2437]",689.7250752226498,1044.1024461186219,415.0377401633639,4.32051703744109,"[{'subtask_id': 0, 'subtask_size': 1.0801292593602725, 'network_delay_to_edge_server': 0.026106540171627193, 'network_delay_to_cloud_server': 0.015366697667985844, 'task_completion_time_edge': 0.3815461639897779, 'task_completion_time_cloud': 1.6229346321949596, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 1, 'subtask_size': 1.0801292593602725, 'network_delay_to_edge_server': 0.026106540171627193, 'network_delay_to_cloud_server': 0.015366697667985844, 'task_completion_time_edge': 0.5672490959827445, 'task_completion_time_cloud': 1.0279972389953826, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 2, 'subtask_size': 1.0801292593602725, 'network_delay_to_edge_server': 0.026106540171627193, 'network_delay_to_cloud_server': 0.015366697667985844, 'task_completion_time_edge': 0.2104703210152439, 'task_completion_time_cloud': 1.9540292891117694, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 3, 'subtask_size': 1.0801292593602725, 'network_delay_to_edge_server': 0.026106540171627193, 'network_delay_to_cloud_server': 0.015366697667985844, 'task_completion_time_edge': 0.30378161882482113, 'task_completion_time_cloud': 0.6072880704860917, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}]"
65,99,3,67.54296508417315,883.6809337468321,12.502521254727304,2.0817387549256874,mobile,19.092764068994995,77.77364049379284,46.82484745751728,18.92222088368436,53,40,"[950.7783, 927.4179]",838.6817095840889,1044.1024461186219,298.4087971243441,1.846360298166542,"[{'subtask_id': 0, 'subtask_size': 0.4615900745416355, 'network_delay_to_edge_server': 0.05656927180094801, 'network_delay_to_cloud_server': 0.026576694990339815, 'task_completion_time_edge': 0.5521978257888227, 'task_completion_time_cloud': 0.6763106411504658, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 1, 'subtask_size': 0.4615900745416355, 'network_delay_to_edge_server': 0.05656927180094801, 'network_delay_to_cloud_server': 0.026576694990339815, 'task_completion_time_edge': 0.8052727357057032, 'task_completion_time_cloud': 1.4774107283390692, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 2, 'subtask_size': 0.4615900745416355, 'network_delay_to_edge_server': 0.05656927180094801, 'network_delay_to_cloud_server': 0.026576694990339815, 'task_completion_time_edge': 0.18589559079706042, 'task_completion_time_cloud': 1.045187845120669, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 3, 'subtask_size': 0.4615900745416355, 'network_delay_to_edge_server': 0.05656927180094801, 'network_delay_to_cloud_server': 0.026576694990339815, 'task_completion_time_edge': 0.7798155800466924, 'task_completion_time_cloud': 1.0915609102766064, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}]"
66,28,4,83.22984781714302,568.1132131571101,3.4572842278579174,17.467060818147193,mobile,31.870108560857684,66.72359687666932,21.163988429352386,37.71304277231133,-62,23,"[750.0522, -355.2437]",728.8031642294715,1044.1024461186219,459.36658317813175,4.655576968141728,"[{'subtask_id': 0, 'subtask_size': 1.163894242035432, 'network_delay_to_edge_server': 0.03502137991422681, 'network_delay_to_cloud_server': 0.05247058531290011, 'task_completion_time_edge': 0.45264991598651183, 'task_completion_time_cloud': 0.6999594400328801, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 1, 'subtask_size': 1.163894242035432, 'network_delay_to_edge_server': 0.03502137991422681, 'network_delay_to_cloud_server': 0.05247058531290011, 'task_completion_time_edge': 0.35274393593189746, 'task_completion_time_cloud': 0.5533765790635461, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 2, 'subtask_size': 1.163894242035432, 'network_delay_to_edge_server': 0.03502137991422681, 'network_delay_to_cloud_server': 0.05247058531290011, 'task_completion_time_edge': 0.30797981601705904, 'task_completion_time_cloud': 1.3825484562208994, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 3, 'subtask_size': 1.163894242035432, 'network_delay_to_edge_server': 0.03502137991422681, 'network_delay_to_cloud_server': 0.05247058531290011, 'task_completion_time_edge': 0.6163118349987654, 'task_completion_time_cloud': 1.1786174411214747, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}]"
67,97,0,74.56652110403536,162.7034748314175,2.089861861373057,8.809574997737865,static,24.140357588443603,54.329645681567,46.16478505551902,33.37947637985806,71,172,"[750.0522, -355.2437]",919.637751938713,1044.1024461186219,168.02953091813566,4.757784837654559,"[{'subtask_id': 0, 'subtask_size': 4.757784837654559, 'network_delay_to_edge_server': 0.046022595847959605, 'network_delay_to_cloud_server': 0.026882044907445668, 'task_completion_time_edge': 0.7512399697218978, 'task_completion_time_cloud': 0.8726599462543321, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}]"
68,41,2,75.94169374785574,310.95510501098863,24.04446369442556,4.341103977367683,static,58.26153500149517,15.580091549843091,90.35104532992489,70.53199825545558,9,-114,"[750.0522, -355.2437]",740.9694449779221,1044.1024461186219,196.02905953175588,2.820134414284954,"[{'subtask_id': 0, 'subtask_size': 1.410067207142477, 'network_delay_to_edge_server': 0.020868830288060483, 'network_delay_to_cloud_server': 0.016288452798944156, 'task_completion_time_edge': 0.2965545314744555, 'task_completion_time_cloud': 1.4023718959098155, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 1, 'subtask_size': 1.410067207142477, 'network_delay_to_edge_server': 0.020868830288060483, 'network_delay_to_cloud_server': 0.016288452798944156, 'task_completion_time_edge': 0.1754234136082789, 'task_completion_time_cloud': 1.0471393468533907, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}]"
69,8,2,54.87413559663838,778.3747487625809,7.16121148267227,8.11285920689789,mobile,23.410948044992324,81.52628986947369,17.602016430958656,54.691826060830984,52,128,"[950.7783, 927.4179]",880.1247509250549,1044.1024461186219,133.33111343777557,3.2976396876879868,"[{'subtask_id': 0, 'subtask_size': 0.8244099219219967, 'network_delay_to_edge_server': 0.04711568160184061, 'network_delay_to_cloud_server': 0.06203218513877123, 'task_completion_time_edge': 0.8532674669286218, 'task_completion_time_cloud': 1.3443321143148061, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 1, 'subtask_size': 0.8244099219219967, 'network_delay_to_edge_server': 0.04711568160184061, 'network_delay_to_cloud_server': 0.06203218513877123, 'task_completion_time_edge': 0.5709164831472026, 'task_completion_time_cloud': 1.7925394471775826, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 2, 'subtask_size': 0.8244099219219967, 'network_delay_to_edge_server': 0.04711568160184061, 'network_delay_to_cloud_server': 0.06203218513877123, 'task_completion_time_edge': 0.4259063146333571, 'task_completion_time_cloud': 1.154684019706013, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 3, 'subtask_size': 0.8244099219219967, 'network_delay_to_edge_server': 0.04711568160184061, 'network_delay_to_cloud_server': 0.06203218513877123, 'task_completion_time_edge': 0.5940588638502496, 'task_completion_time_cloud': 0.8692784355742688, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}]"
70,24,1,62.7841016168415,518.5772746162318,41.041052736205195,34.853844389226694,mobile,77.62401601766342,90.41336587388274,19.988389333958757,83.4259828880424,62,154,"[950.7783, 927.4179]",902.338265613783,1044.1024461186219,382.6179661654899,1.271937712188407,"[{'subtask_id': 0, 'subtask_size': 0.4239792373961357, 'network_delay_to_edge_server': 0.01739430229440244, 'network_delay_to_cloud_server': 0.055249555756430174, 'task_completion_time_edge': 0.4530146059891198, 'task_completion_time_cloud': 1.645397235865993, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 1, 'subtask_size': 0.4239792373961357, 'network_delay_to_edge_server': 0.01739430229440244, 'network_delay_to_cloud_server': 0.055249555756430174, 'task_completion_time_edge': 0.9004789501872148, 'task_completion_time_cloud': 0.8268789204005256, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 2, 'subtask_size': 0.4239792373961357, 'network_delay_to_edge_server': 0.01739430229440244, 'network_delay_to_cloud_server': 0.055249555756430174, 'task_completion_time_edge': 0.8513553116004696, 'task_completion_time_cloud': 0.6569743749317608, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}]"
